CGC-A1B																				
	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100	
1402	5.29	5.39	5.68	6.07	5.76	5.57	5.79	5.94	5.81	6.13	6.04	5.95	6.34	6.14	5.97	6.27	6.29	6.30	6.32	
1403	6.5154	6.5928	6.995	7.3884	7.0192	6.9482	7.2246	7.3262	7.1614	7.5124	7.4726	7.3068	7.5064	7.4088	7.4504	7.7496	7.576666667	7.403733333	7.2308	
																				
CSIRO-A2																				
	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100	
1401	5.29	5.18	5.13	5.52	5.73	5.43	5.88	5.93	5.97	5.60	5.87	6.06	6.07	5.99	6.35	6.15	6.42	6.70	6.97	
1402	5.44	5.45	5.31	5.76	5.78	5.48	5.98	6.09	6.08	5.82	6.06	5.99	6.13	6.10	6.48	6.34	6.66	6.99	7.31	
1403	6.7384	6.7448	6.605	7.1796	7.2366	6.8864	7.303	7.3668	7.445	7.266	7.42	7.583	7.5542	7.6666	7.8924	7.816	8.075	8.334	8.593	
																				
CSIRO-B2																				
	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100	
1401	5.73	5.36	5.55	5.62	5.48	5.66	5.69	5.87	5.78	6.09	5.69	6.16	5.80	5.99	6.47	6.05	6.57	7.09	7.61	
1402	5.81	5.50	5.64	5.78	5.62	5.80	5.75	5.86	5.89	6.17	5.75	6.13	5.82	5.94	6.35	6.19	6.54	6.88	7.23	
1403	7.0026	6.7786	6.9146	6.9916	6.8826	7.1236	7.1158	7.1132	7.261	7.4568	7.0698	7.5638	7.1276	7.2226	7.6934	7.5316	7.803666667	8.075733333	8.3478	
																				
MIROC-A1B																				
	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100	
1401	5.28	5.91	5.89	6.19	6.18	6.63	6.54	6.70	6.78	6.33	6.87	7.28	7.36	7.52	7.31	7.36	7.29	7.22	7.15	
1402	5.43	6.15	6.08	6.28	6.38	6.60	6.62	6.88	6.77	6.33	6.98	7.48	7.34	7.57	7.31	7.53	7.49	7.46	7.42	
1403	6.7766	7.3802	7.327	7.3612	7.521	7.8354	7.8252	8.0402	7.9334	7.6028	8.2908	8.8188	8.583	8.7672	8.5014	8.8426	8.816	8.7894	8.7628	
																				
MIROC-A2																				
	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100	
1401	5.21	5.53	5.71	6.09	6.38	6.00	6.01	6.22	6.74	6.87	6.96	7.14	7.81	7.50	8.14	7.89	8.05	8.20	8.36	
1402	5.36	5.81	5.96	6.35	6.66	6.35	6.30	6.39	7.04	6.96	6.97	7.32	8.06	7.75	8.30	8.11	8.31	8.51	8.71	
1403	6.659	7.1178	7.221	7.5514	7.8664	7.5944	7.6196	7.806	8.4294	8.2776	8.3968	8.7852	9.353	9.0532	9.472	9.3916	9.64	9.8884	10.1368	
																				
HAD-B2																				
	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100	
1401	5.44	5.85	5.54	5.78	5.75	5.55	6.06	6.41	6.04	6.57	5.81	6.24	6.34	6.40	6.48	6.53	6.53	6.53	6.52	
1402	5.62	5.97	5.73	5.89	5.85	5.78	6.14	6.49	6.12	6.61	5.82	6.26	6.38	6.51	6.50	6.57	6.39	6.22	6.04	
1403	6.9044	7.2266	7.1126	7.2102	7.1126	7.103	7.4174	7.9118	7.4336	7.9746	7.1562	7.6014	7.6972	7.8506	7.8196	7.7974	7.664666667	7.531933333	7.3992	
