wrr	wrr.name	division	year	pop	dp.wd	ic.wd	thermo.wd	irrig.wd	livestock.wd	dp.cu	ic.cu	thermo.cu	irrig.cu	livestock.cu	ls.wd	la.wd	ls.cu	la.cu
2	Mid_Atlantic	east	1990	41655379.26	4766.1	3859	12204.6	197	99.4	415	415	187	168	79.5	90	9.4	78	1.5
2	Mid_Atlantic	east	1995	43437894.15	4970.55	3492	12636.93	288.22	133	352.01	334	187.95	200.37	93.3	107	26	92	1.3
2	Mid_Atlantic	east	2000	45208685.17	4726.651112	3121.434168	13050.42512	283.93	583.63	NA	NA	NA	NA	NA	98.11	485.52	NA	NA
2	Mid_Atlantic	east	2005	46729931.9	4673.032564	2555.903617	15745.26382	293.81	1062.36	NA	NA	NA	NA	NA	100.27	962.09	NA	NA
3	South_Atlantic-Gulf	east	1960	20033438	1610	3620	8417	798	130	527.4157303	516.1878453	7	797	127	NA	NA	NA	NA
3	South_Atlantic-Gulf	east	1965	20517127	2040	3870	10917	3200	147	762.7272727	363.1428571	11	1400	140	NA	NA	NA	NA
3	South_Atlantic-Gulf	east	1970	23635165.19	2162	4480	15232	2400	161	731.4814815	755.7462687	120	1500	150	NA	NA	NA	NA
3	South_Atlantic-Gulf	east	1975	26867486.71	2512	5600	18421	3000	246	921.25	870	210	1500	240	NA	NA	NA	NA
3	South_Atlantic-Gulf	east	1980	29473359.74	3320	7100	19298	3800	240	973.6842105	1346.315789	270	2300	240	NA	NA	NA	NA
3	South_Atlantic-Gulf	east	1985	32097901.88	3543	5186	18935	3719	277	700	958	344	2700	227	NA	NA	NA	NA
3	South_Atlantic-Gulf	east	1990	35002956.85	3907	4982	19741	4696	350	815	614	272	3180	257	196	154	196	61
3	South_Atlantic-Gulf	east	1995	38532668.88	4580.03	4867	17616.24	4819.63	406	887.76	666	344.28	3290.78	378	256	150	256	122
3	South_Atlantic-Gulf	east	2000	42126267.24	4970.697039	4694.065728	18192.66397	6013.37	328.13	NA	NA	NA	NA	NA	220.97	107.16	NA	NA
3	South_Atlantic-Gulf	east	2005	45594979.49	5024.567392	4248.398835	21607.50713	4374.09	432.44	NA	NA	NA	NA	NA	220.2	212.24	NA	NA
4	Great_Lakes	east	1960	17838785.14	2290	9130	17500	46	92	332.6934285	447.251462	12	45	85	NA	NA	NA	NA
4	Great_Lakes	east	1965	18863978.99	2470	10640	20000	65	79	401.0526316	581.5064935	11	64	72	NA	NA	NA	NA
4	Great_Lakes	east	1970	21381923.54	2977	10300	25518	90	86	384.8181818	643.1818182	14	87	82	NA	NA	NA	NA
4	Great_Lakes	east	1975	21611914.4	2084	8600	25364	100	85	294.5443038	549.375	52	94	78	NA	NA	NA	NA
4	Great_Lakes	east	1980	21636206.23	2073	7800	27170	330	84	215.6243655	536.9230769	93	330	77	NA	NA	NA	NA
4	Great_Lakes	east	1985	21332223.45	2976.1	6148	22409.3	275	78	213	514	1100	274	69	NA	NA	NA	NA
4	Great_Lakes	east	1990	21763033.08	3133	6036	22803.2	290	92	235	591	476	274	64.4	72	20	62	2.4
4	Great_Lakes	east	1995	22463787.71	3394.97	6087	22786.57	314.9	69.6	247.9	553	429.45	294.8	54.8	61	8.6	53	1.8
4	Great_Lakes	east	2000	22841035.23	2102.675692	5136.090581	23532.17321	310.74	157.08	NA	NA	NA	NA	NA	65.44	91.64	NA	NA
4	Great_Lakes	east	2005	23004039.53	2027.294491	4674.154448	21159.09106	505.09	232.14	NA	NA	NA	NA	NA	73.82	158.32	NA	NA
5	Ohio	east	1960	18995265	1101	7820	16019	12	127	251.4666667	388.5333333	33	12	127	NA	NA	NA	NA
5	Ohio	east	1965	19459073	1281	9270	20040	24	134	327.0718232	494.5614035	17	24	130	NA	NA	NA	NA
5	Ohio	east	1970	20525196.38	1673	6510	27014	35	142	358.3018868	350.8530806	50	35	140	NA	NA	NA	NA
5	Ohio	east	1975	21228947.22	1905	6640	26453	34	188	314.5454545	428.5714286	280	32	170	NA	NA	NA	NA
5	Ohio	east	1980	21828725.29	1711	5790	30502	148	153	350.6726457	506.5753425	520	150	140	NA	NA	NA	NA
5	Ohio	east	1985	21731448.65	1915.7	4578	24380	40	185	220	638	1020	38	155	NA	NA	NA	NA
5	Ohio	east	1990	21773174.28	1860.1	4485	23865	68	132.4	191	858	881	59	115.6	125	7.4	111	4.6
5	Ohio	east	1995	22655265.7	1951.06	5238	22621.62	105.02	141	188	627	838.43	97.18	115.6	123	18	111	4.6
5	Ohio	east	2000	23213635.4	2001.567596	4839.247362	23361.82586	104.9	227.75	NA	NA	NA	NA	NA	126.39	101.36	NA	NA
5	Ohio	east	2005	23644163.12	2049.741608	4130.059073	23778.38932	164.81	210.1	NA	NA	NA	NA	NA	121.88	88.22	NA	NA
6	Tennessee	east	1960	2962062	288	1584	5600	14	38	98.08945687	256.0509554	0	14	38	NA	NA	NA	NA
6	Tennessee	east	1965	3076642	244	1198	5900	8	37	93.98804781	198.8678161	8	8	36	NA	NA	NA	NA
6	Tennessee	east	1970	3200539.882	232	1520	6100	6	31	52.31578947	86.4	64	7	30	NA	NA	NA	NA
6	Tennessee	east	1975	3478990.87	252	1720	8674	7	37	50.53191489	134.5454545	59	7	32	NA	NA	NA	NA
6	Tennessee	east	1980	3752907.5	371	2095	9220	7	41	72.34963325	230.3209877	20	7	40	NA	NA	NA	NA
6	Tennessee	east	1985	3837455.456	337	1973.1	6810	10.3	59	48	241	11	7.7	28	NA	NA	NA	NA
6	Tennessee	east	1990	3933313.326	363	1543	7070	26.8	201	43	189	15	19	46	33	168	33	13
6	Tennessee	east	1995	4258133.03	402.5	1338	6991.2	48.2	206	51.08	134.4	12.92	47.83	44	18	188	18	26
6	Tennessee	east	2000	4515956.177	430.3924631	1408.89745	7219.960238	45.6	108.11	NA	NA	NA	NA	NA	32.8	75.31	NA	NA
6	Tennessee	east	2005	4701952.403	447.8447791	1286.115221	10564.39	57.25	1130.49	NA	NA	NA	NA	NA	32.69	1097.8	NA	NA
7	Upper_Mississippi	east	1960	18192155.48	807	2080	8207	43	291	154.0891089	84.91089109	4	44	290	NA	NA	NA	NA
7	Upper_Mississippi	east	1965	19237657.5	976	2030	13009	85	316	207.1304348	118.9166667	27	77	300	NA	NA	NA	NA
7	Upper_Mississippi	east	1970	19788960.32	1196	2260	12506	104	260	250.5769231	143.6451613	23	95	250	NA	NA	NA	NA
7	Upper_Mississippi	east	1975	20217518.87	2298	2660	13455	142	263	167	147.3918919	96	140	250	NA	NA	NA	NA
7	Upper_Mississippi	east	1980	20668694.58	1400	4160	16093	379	271	293.125	248.9795918	290	370	270	NA	NA	NA	NA
7	Upper_Mississippi	east	1985	20734504.4	1289	2174	12715	362.2	300	409	456	276	345	279	NA	NA	NA	NA
7	Upper_Mississippi	east	1990	21115428.6	1185	2455	16521	392	268	401	325	635	364	234	236	32	217	17
7	Upper_Mississippi	east	1995	22215867.86	1165.24	2344	19062.34	484.86	255	328.63	281	387.97	448.86	218	223	32	205	13
7	Upper_Mississippi	east	2000	23137272.72	2336.136434	2312.297077	19686.08205	537.46	312.07	NA	NA	NA	NA	NA	210.36	101.71	NA	NA
7	Upper_Mississippi	east	2005	23814235.01	2334.935598	2125.359166	19161.27524	1048.09	368.75	NA	NA	NA	NA	NA	228.91	139.84	NA	NA
8	Lower_Mississippi	east	1960	5917506	315	1520	951	850	41	127.2631579	414.7368421	19	660	41	NA	NA	NA	NA
8	Lower_Mississippi	east	1965	6211783	434	1920	1876	1960	45	206	345.9574468	20	1200	44	NA	NA	NA	NA
8	Lower_Mississippi	east	1970	6334009.041	570	4150	4126	3200	55	280.9836066	839.0163934	190	2200	55	NA	NA	NA	NA
8	Lower_Mississippi	east	1975	6696030.791	668	4350	6047	4900	48	311.8666667	872.8378378	290	4000	47	NA	NA	NA	NA
8	Lower_Mississippi	east	1980	7111301.084	805	4510	7735	7700	42	375.6956522	831.3043478	400	4800	41	NA	NA	NA	NA
8	Lower_Mississippi	east	1985	7270409.964	882	2468.6	7002	5800	891	155	214	325	4400	348	NA	NA	NA	NA
8	Lower_Mississippi	east	1990	7124233.195	905	2972	5645	7381	1068	151	321	87	5490	918	28	1040	28	890
8	Lower_Mississippi	east	1995	7423574.272	905.46	3169.3	6734.54	8131.07	1012	528.9	310.7	252.74	5864.43	782	22	990	22	760
8	Lower_Mississippi	east	2000	7637548.658	1023.84462	3177.640516	6954.902023	10613.74	783.37	NA	NA	NA	NA	NA	24.07	759.3	NA	NA
8	Lower_Mississippi	east	2005	7683970.683	975.9439503	3542.133165	7415.262884	11284.88	787.31	NA	NA	NA	NA	NA	24.39	762.92	NA	NA
9	Souris-Red-Rainy	east	1960	667278	38	90	3	13	21	14.63636364	8.363636364	2	9	21	NA	NA	NA	NA
9	Souris-Red-Rainy	east	1965	688763	41	108	65	25	20	22.55555556	11.44444444	1	17	19	NA	NA	NA	NA
9	Souris-Red-Rainy	east	1970	680340.5928	60	84	141	12	14	36.31111111	8.425531915	1	12	15	NA	NA	NA	NA
9	Souris-Red-Rainy	east	1975	700916.9176	65	38	191	42	16	28.08333333	7.553191489	1	41	16	NA	NA	NA	NA
9	Souris-Red-Rainy	east	1980	705196.7673	69	20	54	64	14	40.75438596	10.24561404	1	60	14	NA	NA	NA	NA
9	Souris-Red-Rainy	east	1985	704604.3372	71.5	82.9	38.3	74.6	12.6	24	23	0.3	63	13	NA	NA	NA	NA
9	Souris-Red-Rainy	east	1990	688474.2556	79	71.7	26	98	12.98	25	11.4	0.6	87	12.96	12.9	0.08	12.88	0.08
9	Souris-Red-Rainy	east	1995	703387.5407	64.28	42.6	38.37	87.98	22.35	17	7.3	0	77.98	22.34	22.3	0.05	22.3	0.04
9	Souris-Red-Rainy	east	2000	699642.3035	63.04086932	76.73913068	39.62551126	109.49	36.49	NA	NA	NA	NA	NA	11.88	24.61	NA	NA
9	Souris-Red-Rainy	east	2005	697616.6092	62.74676094	70.86323906	80.64	102.77	61.54	NA	NA	NA	NA	NA	12.38	49.16	NA	NA
10	Missouri_Basin	west	1960	7843286	683	603	2205	13269	319	235.2953995	99.52454418	12	6946	301	NA	NA	NA	NA
10	Missouri_Basin	west	1965	8237001	726	791	2261	15700	370	238.4020619	156.6889804	31	9800	360	NA	NA	NA	NA
10	Missouri_Basin	west	1970	8709158.999	841	820	3321	18588	440	272.4705882	138.5294118	34	12000	410	NA	NA	NA	NA
10	Missouri_Basin	west	1975	9179721.372	1014	860	4236	28880	480	318.5123967	133.4876033	68	14000	440	NA	NA	NA	NA
10	Missouri_Basin	west	1980	9693764.94	1332	1000	8186	29002	390	456.9565217	158.1267606	350	15000	380	NA	NA	NA	NA
10	Missouri_Basin	west	1985	10028278.97	1315.5	971	7513	24273.5	373	404	183	185	11600	364	NA	NA	NA	NA
10	Missouri_Basin	west	1990	10094282.25	1371	872	10030	24803	415	400	194	195	10900	385.9	384	31	380	5.9
10	Missouri_Basin	west	1995	10830080.88	1316.66	877	8802.34	24621.43	426	422.72	213	171.61	12994.72	391.3	386	40	386	5.3
10	Missouri_Basin	west	2000	11467723.72	1600.72549	980.8904599	9090.362857	24020.96	492.5	NA	NA	NA	NA	NA	342.64	149.86	NA	NA
10	Missouri_Basin	west	2005	11877398.84	1495.34987	735.1827875	8954.347343	24861.97	612.3	NA	NA	NA	NA	NA	368	244.3	NA	NA
11	Arkansas-White-Red	west	1960	6274560	534	1151	3167	4615	142	214.256	235.8148148	29	3390	139	NA	NA	NA	NA
11	Arkansas-White-Red	west	1965	6499047	624	1037	1742	10200	153	281.2054795	395.8335725	54	7700	150	NA	NA	NA	NA
11	Arkansas-White-Red	west	1970	6829103.876	614	840	1961	8206	186	259.6756757	281.9178082	82	6000	180	NA	NA	NA	NA
11	Arkansas-White-Red	west	1975	7403818.161	777	1190	2858	10002	226	332.212766	364.787234	95	8000	220	NA	NA	NA	NA
11	Arkansas-White-Red	west	1980	7960738.533	915	1630	2074	10815	235	275	488	200	8200	230	NA	NA	NA	NA
11	Arkansas-White-Red	west	1985	8406096.813	981.2	1106	4068	8843.1	255	246	196	138	7230	199	NA	NA	NA	NA
11	Arkansas-White-Red	west	1990	8320884.064	997	1105	4531	8399	358	267	196	144	6910	350	337	21	336	14
11	Arkansas-White-Red	west	1995	8903301.527	1064.8	1175	4174.63	9263.27	394	373.61	195	163.49	7069.65	385	370	24	370	15
11	Arkansas-White-Red	west	2000	9366873.691	1166.299655	1403.435532	4311.228775	8980.87	447.78	NA	NA	NA	NA	NA	379.8	67.98	NA	NA
11	Arkansas-White-Red	west	2005	9645081.81	1166.727663	1085.109657	3605.67268	8107.06	508.33	NA	NA	NA	NA	NA	369.05	139.28	NA	NA
12	Texas-Gulf	west	1960	7919398	622.0139535	1411	2178.432788	7161.012788	67.19327731	277.1403048	364.8474576	51.9205298	4797.87234	66.89171975	NA	NA	NA	NA
12	Texas-Gulf	west	1965	8682734	653	1768	2920	7105	90	256.7113402	594.8615385	140	5500	89	NA	NA	NA	NA
12	Texas-Gulf	west	1970	9930421.808	860	1770	4753	6114	113	340	702.2608696	100	4900	110	NA	NA	NA	NA
12	Texas-Gulf	west	1975	11142148.79	1030	1100	7635	7031	136	482.9411765	467.0588235	380	6500	136	NA	NA	NA	NA
12	Texas-Gulf	west	1980	12752743.18	1720	1920	982	5555	198	413.3333333	606.6666667	360	4900	190	NA	NA	NA	NA
12	Texas-Gulf	west	1985	14558680.48	2259	1258	5015	4974	176	741	549	155	4390	176	NA	NA	NA	NA
12	Texas-Gulf	west	1990	15289848.12	2336	1184	4706	5130	156	760	494	207	4300	155	156	0	155	0
12	Texas-Gulf	west	1995	17031368.3	2644.48	1596	7683.4	5568.69	208	958.04	606	252.03	5317.62	207	195	13	194	13
12	Texas-Gulf	west	2000	18910024.97	3333.693603	1677.341608	7934.809831	5490.49	220.72	NA	NA	NA	NA	NA	207.07	13.65	NA	NA
12	Texas-Gulf	west	2005	20727180.22	3448.31919	1508.895099	8746.60571	4841.98	201.52	NA	NA	NA	NA	NA	188.56	12.96	NA	NA
13	Rio_Grande	west	1960	1623869	238.1860465	249	301.5672117	5280.987212	50.80672269	124.0203644	64.79661017	4.079470199	3402.12766	51.10828025	NA	NA	NA	NA
13	Rio_Grande	west	1965	1726821	250	312	360	6418	69	110.9370079	105.5076923	11	3900	68	NA	NA	NA	NA
13	Rio_Grande	west	1970	1421798.02	221	320	21	5517	37	109.7741935	150.2258065	17	3000	36	NA	NA	NA	NA
13	Rio_Grande	west	1975	1631678.106	276	189	27	4820	38	151.180791	108.1123919	20	3200	37	NA	NA	NA	NA
13	Rio_Grande	west	1980	1850999.979	334	37	16	4300	32	151.7579618	22.1588785	11	2100	26	NA	NA	NA	NA
13	Rio_Grande	west	1985	2054921.474	439	130.9	17.5	4982.1	40	135	69	13	1970	39	NA	NA	NA	NA
13	Rio_Grande	west	1990	2220057.501	474	181	17.8	5291	32.9	142	102	12	3180	25	31	1.9	25	0
13	Rio_Grande	west	1995	2506146.223	419.75	177	18	6022.59	35.2	172.87	101	14.3	2637.87	32.2	32	3.2	31	1.2
13	Rio_Grande	west	2000	2660827.034	530.9571897	165.5564366	18.58898105	4768.08	52.41	NA	NA	NA	NA	NA	34.64	17.77	NA	NA
13	Rio_Grande	west	2005	2820857.354	550.8103179	173.3988986	48.45078347	4846.38	69.13	NA	NA	NA	NA	NA	36.55	32.58	NA	NA
14	Upper_Colorado	west	1960	338041	52.24545455	25	118.0327869	5959.396231	12.5	17.72339355	8.195121951	8.181818182	3504.761905	11.15384615	NA	NA	NA	NA
14	Upper_Colorado	west	1965	328187	54	34	120	6414	11	14.67924528	13.32786885	18	3200	10	NA	NA	NA	NA
14	Upper_Colorado	west	1970	376056.9749	56	72	102	7853	18	19.05172414	23.66666667	22	4000	17	NA	NA	NA	NA
14	Upper_Colorado	west	1975	469582.0706	74	101	162	3760	15	25.62337662	30.37662338	60	2000	14	NA	NA	NA	NA
14	Upper_Colorado	west	1980	586606.7573	168	608	135	7481	93	53.66666667	68.765625	130	2000	22	NA	NA	NA	NA
14	Upper_Colorado	west	1985	639167.1872	120.9	88.9	131	7174	38.9	33	26	107	2220	13	NA	NA	NA	NA
14	Upper_Colorado	west	1990	642780.7507	106.2	86.1	177	6592	117.4	34	32	165	2240	12.1	110	7.4	12	0.1
14	Upper_Colorado	west	1995	738098.2671	123.9	64.8	146.49	7033.2	54	35.68	21.9	129.59	2316.77	12.3	13	41	12	0.3
14	Upper_Colorado	west	2000	816691.8089	148.5860467	74.53822086	151.2833241	6509.57	92.05	NA	NA	NA	NA	NA	9.19	82.86	NA	NA
14	Upper_Colorado	west	2005	866736.3256	129.657454	70.48254601	175.13	6781.37	88.68	NA	NA	NA	NA	NA	9.06	79.62	NA	NA
15	Lower_Colorado	west	1960	1505522	230.4545455	139	19.96721311	5142.403769	19.5	125.8946993	43.31034483	6.818181818	3395.238095	17.84615385	NA	NA	NA	NA
15	Lower_Colorado	west	1965	1902337	270	195	21	6157	19	136.7567568	75.55172414	15	3100	16	NA	NA	NA	NA
15	Lower_Colorado	west	1970	2116697.605	354	276	47	6505	28	177.7692308	131.6666667	36	4700	28	NA	NA	NA	NA
15	Lower_Colorado	west	1975	2687434.36	456	377	148	7558	49	224.6470588	235.0290135	47	5700	47	NA	NA	NA	NA
15	Lower_Colorado	west	1980	3266710.028	527	480	91	7606	17	292.4166667	274.5833333	49	4300	11	NA	NA	NA	NA
15	Lower_Colorado	west	1985	3817223.423	646.5	391	49	6267	69	340	218	49	3610	14	NA	NA	NA	NA
15	Lower_Colorado	west	1990	4523978.613	833.1	644	109	6243	98	363	433	107	4070	31.2	38	60	31	0.2
15	Lower_Colorado	west	1995	5577143.981	914.56	532	62.87	6545.08	39.5	396.84	319	56.6	3709.81	39.5	39	0.5	39	0.5
15	Lower_Colorado	west	2000	6687955.519	1229.096897	577.207585	64.92717991	5627.13	21.17	NA	NA	NA	NA	NA	14.26	6.91	NA	NA
15	Lower_Colorado	west	2005	7811938.348	1363.572036	599.7641096	121.5338543	5064.07	27.49	NA	NA	NA	NA	NA	14.27	13.22	NA	NA
16	Great_Basin	west	1960	985432	266	376	76	5208	21	70.03703704	31.19784173	2	3300	19	NA	NA	NA	NA
16	Great_Basin	west	1965	1136971	267	296	170	4841	29	76.33333333	51.56962025	2	3000	16	NA	NA	NA	NA
16	Great_Basin	west	1970	1232011.552	308	265	134	5913	41	131.125	82	6	2900	21	NA	NA	NA	NA
16	Great_Basin	west	1975	1437661.749	359	298	82	6005	48	127.5789474	83.77777778	6	3400	20	NA	NA	NA	NA
16	Great_Basin	west	1980	1735081.651	686	660	125	5904	46	262.7654321	161.2345679	6	3500	17	NA	NA	NA	NA
16	Great_Basin	west	1985	1946159.19	463	180.6	13	7388	69	152	54	9.9	3370	16	NA	NA	NA	NA
16	Great_Basin	west	1990	2110687.836	515.6	315	31.2	6352	36.9	165	126	31	3100	8.2	36	0.9	7.9	0.3
16	Great_Basin	west	1995	2451361.716	469.36	339	23.99	5142.25	86	160.13	156	23.19	2903.06	13.4	20	66	13	0.4
16	Great_Basin	west	2000	2744903.093	587.0244525	328.8220018	24.77498085	5505.7	86	NA	NA	NA	NA	NA	21.51	64.49	NA	NA
16	Great_Basin	west	2005	3058777.014	542.9962388	299.3437612	34.31	4777.75	83.2	NA	NA	NA	NA	NA	24.76	58.44	NA	NA
17	Pacific_Northwest	west	1960	5426108	879	2490	7	18900	59	125.1008403	139.75	0	8000	55	NA	NA	NA	NA
17	Pacific_Northwest	west	1965	5734627	701	2300	5	26303	59	175.8	188	0	10000	55	NA	NA	NA	NA
17	Pacific_Northwest	west	1970	6392411.812	959	2380	26	27006	52	343.1007752	266.8992248	0	10000	47	NA	NA	NA	NA
17	Pacific_Northwest	west	1975	6951872.94	974	3840	36	28509	53	321.5384615	397.2413793	9	9900	47	NA	NA	NA	NA
17	Pacific_Northwest	west	1980	7932794.111	1032	4200	28	29117	55	377.2222222	464.1732283	2	11000	49	NA	NA	NA	NA
17	Pacific_Northwest	west	1985	8267148.132	1331	1790	438.7	30774.6	1092	193	178	25	12000	150	NA	NA	NA	NA
17	Pacific_Northwest	west	1990	8978039.369	1418.7	2140	355	31761	620	186	180	21	11700	59.4	101	519	58	1.4
17	Pacific_Northwest	west	1995	10080678.91	1496.58	2859	384.96	25744.3	1506	189.72	202	17.94	10098.59	61.5	86	1420	60	1.5
17	Pacific_Northwest	west	2000	10897088.27	1506.388745	2644.831573	397.5563413	26136.8	2293.17	NA	NA	NA	NA	NA	84.37	2208.8	NA	NA
17	Pacific_Northwest	west	2005	11597994.24	1431.117193	1461.622807	465.34	26063.76	3311.47	NA	NA	NA	NA	NA	93.37	3218.1	NA	NA
18	California	west	1960	15764679	2407	840	430	16430	82	421.4814815	146.2686567	17	13000	66	NA	NA	NA	NA
18	California	west	1965	18633391	3390	1210	960	26400	84	1123.5	325.0645995	18	16000	45	NA	NA	NA	NA
18	California	west	1970	20058558.16	2929	1080	1501	34120	92	1225.941176	423.8011696	24	21000	50	NA	NA	NA	NA
18	California	west	1975	21571825.1	3129	1180	1480	36160	100	1292.216216	473.5656836	32	21000	54	NA	NA	NA	NA
18	California	west	1980	23832678.71	3439	1240	1990	38150	86	1452.292683	521.7073171	41	23000	47	NA	NA	NA	NA
18	California	west	1985	26465690.51	3696	2368	480	31024	201	879	675	67	13200	156	NA	NA	NA	NA
18	California	west	1990	29971078.28	4776	1698	245.6	28428	405	1020	117	6.4	19400	248	232	173	217	31
18	California	west	1995	31705784.55	4453.61	2291	205.47	29311.92	453	1061.23	573	9.67	23301.73	325	293	160	293	32
18	California	west	2000	34011854.07	5022.585014	2002.743025	358.1705627	31204.8	948.37	NA	NA	NA	NA	NA	409.87	538.5	NA	NA
18	California	west	2005	35991744.04	5889.95264	1716.184947	56.11855537	24932.43	851.97	NA	NA	NA	NA	NA	197.64	654.33	NA	NA
19	Alaska	west	1960	229000	19	92	86	0	0	0	0.130434783	0	0	0	NA	NA	NA	NA
19	Alaska	west	1965	271000	33	107	2	0	0	5.46875	5.53125	0	0	0	NA	NA	NA	NA
19	Alaska	west	1970	304328	59	117	70	0	0	9.881355932	5.283333333	0	0.8	0	NA	NA	NA	NA
19	Alaska	west	1975	370973	89	126	20	0	0	3.950617284	10.64516129	1	0	0	NA	NA	NA	NA
19	Alaska	west	1980	405315	51	144	30	0	0	24.90566038	9.555555556	0	0	0	NA	NA	NA	NA
19	Alaska	west	1985	532496	9.7	172.2	30.3	0	156	7.9	16.1	3.1	0	0.2	NA	NA	NA	NA
19	Alaska	west	1990	553290	6.9	205	30.7	0.6	0.6	3.7	18.2	3.2	0.3	0.6	0.6	0	0.6	0
19	Alaska	west	1995	604412	54.19	125	30.53	0.57	0.5	4.54	16.3	3.1	0.3	0.5	0.3	0.2	0.3	0.2
19	Alaska	west	2000	627462	56.40096986	80.88327174	34.1157584	1.01	360.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	Alaska	west	2005	669411	56.88515689	62.78905866	34.08578445	1.05	720.74	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	Hawaii	west	1960	642000	63	170	26	920	3	22.17647059	21.82352941	0	370	2	NA	NA	NA	NA
20	Hawaii	west	1965	704000	71	159	72	1160	4	24.98148148	17.47272727	0	530	3	NA	NA	NA	NA
20	Hawaii	west	1970	762920	110	296	128	1287	7	38.33333333	65.79411765	0	750	7	NA	NA	NA	NA
20	Hawaii	west	1975	875052	150	226	172	950	6	45.5801105	14.64516129	0	500	5	NA	NA	NA	NA
20	Hawaii	west	1980	967710	144	109	139	910	5	46.07692308	18.82352941	0	610	5	NA	NA	NA	NA
20	Hawaii	west	1985	1039698	158.3	110.4	89.8	907.4	3.8	71	37	0.9	600	2.2	NA	NA	NA	NA
20	Hawaii	west	1990	1113491	177.9	153.9	95	761	7.2	68	29.2	1.7	523	5.4	5.4	1.8	5.4	0
20	Hawaii	west	1995	1196854	165.38	118.1	67.08	657.95	10	76.44	46	0.67	414.54	4.7	4.6	5.4	4.6	0.1
20	Hawaii	west	2000	1211586	201.0062	121.9898375	0.303962467	363.5	7.19	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	Hawaii	west	2005	1267581	209.0629046	94.77049764	38.06659773	97.84	6.91	NA	NA	NA	NA	NA	NA	NA	NA	NA
